OsteoCodeR 2019, Buikstra  &  Ubelaker  1994 , UTK  1994 , UTK  2016 , Byrd  &  Adams  Supplemental  2003 , Simmons  1990 , Holland  1992 , Holland  1995 , Howells  1973 
Cra_01,1,1,1,,,,,GOL
Cra_02,,,2,,,,,NOL
Cra_03,2,2,3,,,,,XCB
Cra_04,3,3,4,,,,,ZYB
Cra_05,4,4,5,,,,,BBH
Cra_06,5,5,6,,,,,BNL
Cra_07,6,6,7,,,,,BPL
Cra_08,7,7,8,,,,,MAB
Cra_09,8,8,9,,,,,
Cra_10,9,9,10,,,,,AUB
Cra_11,10,10,11,,,,,NPH
Cra_12,11,11,12,,,,,
Cra_13,12,12,13,,,,,
Cra_14,13,13,14,,,,,NLH
Cra_15,14,14,15,,,,,NLB
Cra_16,15,15,16,,,,,OBB
Cra_17,16,16,17,,,,,OBH
Cra_18,17,17,18,,,,,EKB
Cra_19,18,18,19,,,,,DKB
Cra_20,19,19,20,,,,,FRC
Cra_21,20,20,21,,,,,PAC
Cra_22,21,21,22,,,,,OCC
Cra_23,22,22,23,,,,,
Cra_24,23,23,24,,,,,
Cra_25,24,24,25,,,,,MDH
Cra_26,,,26,,,,,ASB
Cra_27,,,27,,,,,ZMB
Cra_28,,,28,,,,,
Cra_29,,,,,,,,XFB
Cra_30,,,,,,,,STB
Cra_31,,,,,,,,WCB
Cra_32,,,,,,,,JUB
Cra_33,,,,,,,,MDB
Cra_34,,,,,,,,SSS
Cra_35,,,,,,,,FMB
Cra_36,,,,,,,,NAS
Cra_37,,,,,,,,DKS
Cra_38,,,,,,,,NDS
Cra_39,,,,,,,,WNB
Cra_40,,,,,,,,SIS
Cra_41,,,,,,,,IML
Cra_42,,,,,,,,XML
Cra_43,,,,,,,,MLS
Cra_44,,,,,,,,WMH
Cra_45,,,,,,,,SOS
Cra_46,,,,,,,,FOL
Cra_47,,,,,,,,FRS
Cra_48,,,,,,,,OCA
Cra_49,,,,,,,,PAS
Cra_50,,,,,,,,PAF
Cra_51,,,,,,,,OCS
Cra_52,,,,,,,,OCF
Cra_53,,,,,,,,VRR
Cra_54,,,,,,,,NAR
Cra_55,,,,,,,,SSR
Cra_56,,,,,,,,PRR
Cra_57,,,,,,,,DKR
Cra_58,,,,,,,,ZOR
Cra_59,,,,,,,,FMR
Cra_60,,,,,,,,EKR
Cra_61,,,,,,,,ZMR
Cra_62,,,,,,,,AVR
Cra_63,,,,,,,,NAA
Cra_64,,,,,,,,PRA
Cra_65,,,,,,,,BAA
Cra_66,,,,,,,,NBA
Cra_67,,,,,,,,BBA
Cra_68,,,,,,,,SSA
Cra_69,,,,,,,,NFA
Cra_70,,,,,,,,DKA
Cra_71,,,,,,,,NDA
Cra_72,,,,,,,,SIA
Cra_73,,,,,,,,FRA
Cra_74,,,,,,,,PAA
Man_01,25,25,29,,,,,
Man_02,26,26,30,,,,,
Man_03,27,27,31,,,,,
Man_04,28,28,32,,,,,
Man_05,29,29,33,,,,,
Man_06,30,30,34,,,,,
Man_07,31,31,,,,,,
Man_08,32,32,35,,,,,
Man_09,33,33,36,,,,,
Man_10,34,34,37,,,,,
Cla_01,35,35,38,,,,,
Cla_02,,,39,,,,,
Cla_03,,,40,,,,,
Cla_04,36,36,,,,,,
Cla_05,37,37,,,,,,
Cla_06,,,,37A,,,,
