ID,Osc_17,Fem_04,ID,Fem_03,Tib_02,ID,Tib_12,Fib_05,ID,Sca_03,Hum_07,ID,Sca_04,Hum_07,ID,Hum_06,Uln_11,ID,Hum_06,Rad_04
1175,50.9,42.3,1175,77,72,1175,31.9,25.2,1175,32,47.6,1175,22.8,46,918,42.8,23.4,1175,47,23.2
1998-022        ,61.4,49.8,918,76,71,918,31.4,26,918,34.3,41.7,918,23.8,40.5,1999-008        ,43.5,22.5,918,42.8,20.8
1998-052        ,56,47,1998-052        ,84,78,1998-022        ,33.2,28,1998-022        ,36.3,49.5,1998-022        ,26.7,45.8,1999-135-I-01   ,47.4,27.2,1993-284-I-03   ,45.5,24.4
1998-053        ,58,49.5,1998-053        ,87,82,1999-008        ,32.6,25.1,1998-052        ,38,49,1999-008        ,25.5,41.2,1999-135-I-02   ,49.13,24.42,1999-008        ,43.5,21.8
1998-096        ,53.5,48,1998-091        ,88,82.5,1999-135-I-01   ,37.3,28,1998-053        ,39,47,1999-135-I-01   ,28.6,43.8,1999-135-I-03   ,50.42,28.47,1999-135-I-02   ,49.13,26.36
1998-125 v1     ,56.9,46.1,1998-096        ,80.5,77.5,1999-135-I-03   ,36.89,27.63,1998-091        ,39,50,1999-135-I-02   ,31.8,48.52,1999-135-I-04   ,50.29,27.07,1999-135-I-05   ,50.12,26.86
1998-126        ,58.3,46.2,1998-126        ,80,75,1999-135-I-04   ,39.5,32,1998-096        ,35.7,48.2,1999-135-I-03   ,29.6,46.38,1999-135-I-05   ,50.12,25.16,1999-135-I-06   ,49.82,26.24
1999-008        ,53.3,44.2,1999-008        ,81.5,76.5,1999-135-I-05   ,34.66,29.17,1998-126        ,37.9,43.1,1999-135-I-04   ,29.85,49.22,1999-135-I-06   ,49.82,24.87,1999-135-I-07   ,45.45,23.92
1999-048 v1     ,56.8,50.1,1999-135-I-01   ,86.5,81,1999-135-I-06   ,32.58,29,1999-008        ,35.5,45.7,1999-135-I-05   ,31.4,46.83,1999-135-I-07   ,45.45,23.13,1999-135-I-08   ,44.8,23.76
1999-048 v2     ,55.9,47.9,1999-135-I-03   ,92,88,1999-135-I-09   ,39.11,27.98,1999-135-I-01   ,37.4,47.4,1999-135-I-06   ,29.9,44.95,1999-135-I-08   ,44.8,25.08,1999-135-I-09   ,49.11,26.76
1999-112-I-01   ,59.5,49.6,1999-135-I-04   ,93,87,1999-135-I-10   ,33.23,30,1999-135-I-02   ,39.97,53.75,1999-135-I-07   ,28.41,42.58,1999-135-I-09   ,49.11,28.2,1999-135-I-10   ,44.71,24.13
1999-135-I-01   ,56.7,48,1999-135-I-05   ,90,84,1999-135-I-11   ,35.36,26.5,1999-135-I-03   ,43.09,52,1999-135-I-08   ,28.15,44.86,1999-135-I-10   ,44.71,23.3,1999-135-I-11   ,44.01,23.01
1999-135-I-02   ,62.5,52.68,1999-135-I-06   ,90,84,1999-135-I-13   ,35.15,25.82,1999-135-I-04   ,41.44,51.77,1999-135-I-09   ,30.62,46.72,1999-135-I-11   ,44.01,26.22,1999-135-I-13   ,47.94,24.57
1999-135-I-03   ,62.15,53,1999-135-I-07   ,85,81,1999-135-I-14   ,33.27,27.79,1999-135-I-05   ,40.01,50,1999-135-I-10   ,28.75,44.74,1999-135-I-12   ,46.2,24.4,1999-135-I-14   ,47.44,25.19
1999-135-I-04   ,67.53,55.89,1999-135-I-08   ,80,75,1999-135-I-15   ,39.82,28.47,1999-135-I-06   ,41,50.61,1999-135-I-11   ,26.62,42.72,1999-135-I-13   ,47.94,25.57,1999-135-I-15   ,51.05,26.56
1999-135-I-05   ,61.03,50,1999-135-I-09   ,93,83,1999-135-I-16   ,34.86,30,1999-135-I-07   ,38.23,47.71,1999-135-I-12   ,30.73,45.33,1999-135-I-14   ,47.44,24.61,1999-135-I-16   ,47.29,24.89
1999-135-I-06   ,64.25,52.4,1999-135-I-10   ,89,80,1999-135-I-17   ,34.03,26,1999-135-I-08   ,39.01,49.5,1999-135-I-14   ,30.53,46.93,1999-135-I-15   ,51.05,25.2,1999-135-I-18   ,47.78,26.79
1999-135-I-07   ,58.45,49.74,1999-135-I-11   ,87,83,1999-135-I-18   ,33.05,29.96,1999-135-I-09   ,40.01,52,1999-135-I-15   ,31.4,50,1999-135-I-16   ,47.29,23.93,1999-135-I-19   ,46.41,24.28
1999-135-I-08   ,55.54,47,1999-135-I-12   ,92,87,1999-135-I-19   ,35.96,25.88,1999-135-I-10   ,39.48,47.94,1999-135-I-16   ,30.63,47.38,1999-135-I-17   ,44.46,22.9,2001-006        ,46.4,24.3
1999-135-I-09   ,60.93,51,1999-135-I-14   ,82,79,2000-116        ,37.4,33,1999-135-I-11   ,37.79,49,1999-135-I-17   ,27.89,45.44,1999-135-I-18   ,47.78,25.41,2002-074        ,43.3,23.8
1999-135-I-10   ,60.11,49.77,1999-135-I-16   ,87.5,82.5,2001-006        ,34.1,26.2,1999-135-I-12   ,37.3,48.54,1999-135-I-18   ,32.1,46.21,1999-135-I-19   ,46.41,27.05,CR12/179B       ,45.5,23.9
1999-135-I-11   ,58.57,48,1999-135-I-17   ,79,74,2002-074        ,34.5,24.6,1999-135-I-14   ,40.25,52,1999-135-I-19   ,28.4,45.1,2000-116        ,47.2,26.5,GLO1/177B       ,45.1,23.5
1999-135-I-12   ,60.54,50,1999-135-I-18   ,88,83,CR12/179B       ,35.6,31.2,1999-135-I-15   ,39.31,53,2001-006        ,29.3,46.2,2001-006        ,46.4,24,GLO1/353B       ,46.9,25.4
1999-135-I-13   ,60.98,50.9,1999-135-I-19   ,83,80,GLO1/177B       ,33.7,27.2,1999-135-I-16   ,38.1,48.42,2002-074        ,18.1,44.3,2002-074        ,43.3,21.5,GLO7/026B       ,45.3,24.5
1999-135-I-14   ,58.9,50,2001-006        ,89,79,GLO1/340B       ,31.5,27.6,1999-135-I-17   ,38.59,51.88,GLO1/177B       ,30.2,43.3,CR12/179B       ,45.5,27,GLO7/031B       ,43.9,26.1
1999-135-I-15   ,68.1,54,CR12/179B       ,89,81,GLO1/353B       ,31.4,29,1999-135-I-18   ,42.98,51.7,GLO1/353B       ,30,42.8,GLO1/177B       ,45.1,24.1,GLO9/018B       ,46.5,26.6
1999-135-I-16   ,61.36,51.56,GLO1/177B       ,85,81,GLO7/026B       ,35.4,26.8,1999-135-I-19   ,38.77,48.7,GLO7/026B       ,30.2,42.3,GLO1/340B       ,48.4,26.5,HTH1051         ,51.18,27.91
1999-135-I-17   ,55.92,44.9,GLO1/340B       ,88,81,GLO7/031B       ,32.5,26.3,2001-006        ,38.2,51.5,GLO7/031B       ,28,42.7,GLO1/353B       ,46.9,27.2,HTH1231         ,43.95,23.12
1999-135-I-18   ,61.39,51.4,GLO1/353B       ,82,80,GLO9/018B       ,38.6,27.5,2002-074        ,37.9,46.5,GLO9/018B       ,29.9,44.7,GLO7/026B       ,45.3,25.1,HTH2069         ,49.6,25.57
1999-135-I-19   ,59.54,49.3,GLO7/026B       ,84,79,HTH1051         ,36.72,27.16,GLO1/177B       ,40.1,49.6,HTH1051         ,30.88,46.83,GLO7/031B       ,43.9,23.9,HTH2206         ,45.49,24.45
2000-116        ,59.6,49,GLO7/031B       ,86,81,HTH1231         ,27.57,24,GLO1/340B       ,37.1,48.9,HTH1231         ,26.98,41.74,GLO9/018B       ,46.5,24.3,HTH2274         ,48.34,26.33
2001-006        ,59.7,48.3,GLO9/018B       ,90,81,HTH2069         ,37.17,27.54,GLO1/353B       ,39,49.9,HTH2069         ,31.28,47.1,HTH1051         ,51.18,26.9,HTH2983         ,48.71,25.98
2002-074        ,57.8,47.1,HTH1051         ,93,86,HTH2206         ,35.29,24.5,GLO7/026B       ,41.3,48.4,HTH2206         ,29.49,45.14,HTH1231         ,43.95,23.68,HTH3760         ,38.51,19.5
CR12/179B       ,58.9,50,HTH1231         ,79,77,HTH2274         ,34.04,27.61,GLO7/031B       ,35.4,47.8,HTH2274         ,32.81,47.7,HTH2069         ,49.6,28.55,OLOVO 1/2/1     ,49.2,26.4
GLO1/177B       ,59.7,48.3,HTH2069         ,88,79,RVO2/089B       ,30.8,26.6,GLO9/018B       ,39,50.7,HTH2983         ,32.04,47.05,HTH2206         ,45.49,25.59,OLOVO 1/3/1     ,47.3,24
GLO1/340B       ,58.5,50.7,HTH2206         ,82,78,RVO2/117B       ,36.9,27,HTH1051         ,42.87,51.84,HTH3760         ,22.41,39.9,HTH2274         ,48.34,28.28,RVO2/068B       ,48.2,26.5
GLO1/353B       ,59.4,49.5,HTH2274         ,89,84,RVO2/142B       ,29.9,28,HTH1231         ,35.39,45.84,OLOVO 1/2/1     ,34.2,47.1,HTH2983         ,48.71,25.66,RVO2/089B       ,47.8,25.3
GLO7/026B       ,60.6,49,HTH2983         ,86,81,RVO2/173B       ,35.5,29.6,HTH2069         ,39.96,51.93,OLOVO 1/3/1     ,27.3,42.3,HTH3760         ,38.51,19.87,RVO2/117B       ,51.3,25.2
GLO7/031B       ,57.1,48.3,HTH3760         ,81,72,RVO2/180B       ,35,27,HTH2206         ,40.27,52.08,RVO2/068B       ,33,49.2,OLOVO 1/2/1     ,49.2,27.6,RVO2/142B       ,47.6,25.1
GLO9/018B       ,60.7,50.8,OLOVO 1/3/1     ,86,81,RVO2/210B       ,34.3,29.2,HTH2274         ,43.61,51.66,RVO2/117B       ,32.2,46.1,OLOVO 1/3/1     ,47.3,25.5,RVO2/173B       ,48,23.2
HTH1051         ,64.61,55.14,RVO2/089B       ,84,81,RVO2/220B       ,30.5,25.3,HTH2983         ,39.61,50.45,RVO2/142B       ,29.9,46.1,RVO2/068B       ,48.2,32.9,RVO2/180B       ,44.1,23.4
HTH1231         ,58.71,46.97,RVO2/117B       ,88.5,84,RVO2/245B       ,33.9,28.7,HTH3760         ,31.85,43.39,RVO2/173B       ,26,41.2,RVO2/089B       ,47.8,25.2,RVO2/186B       ,45.6,22.9
